S2801_C02_011E,county,S2801_C02_012E,state,S2501_C02_001E,S1901_C01_001E,S1501_C02_015E,S2301_C03_001E,S0101_C01_001E,cluster
20.3,133,67.8,12,8558,8558,11.3,43.9,24472,-1
12.5,31,78.9,12,347783,347783,28.7,59.3,912043,1
27.2,7,66.4,12,8980,8980,10.4,41.6,26775,0
10.1,9,83.6,12,227223,227223,28.4,50.3,568183,-1
6.9,19,86.8,12,71939,71939,23.7,57.1,203291,-1
22.3,67,67.8,12,2193,2193,14.0,35.5,8684,0
11.8,69,81.3,12,127441,127441,22.4,48.9,326215,-1
9.2,89,82.2,12,30454,30454,27.2,53.8,78435,-1
13.6,103,79.1,12,406871,406871,30.1,54.3,949842,-1
16.6,105,65.4,12,226604,226604,19.5,50.5,652256,-1
12.7,111,79.8,12,110043,110043,19.6,49.9,298763,-1
32.9,43,50.0,12,4297,4297,10.9,36.2,13197,0
27.6,51,61.8,12,12098,12098,8.4,55.1,39064,-1
14.4,61,79.3,12,57911,57911,27.8,44.7,147981,-1
26.4,63,65.2,12,17041,17041,14.0,39.9,48571,0
10.8,99,81.4,12,543591,543591,34.8,55.5,1426772,-1
7.5,109,85.8,12,83744,83744,43.0,56.2,226578,-1
6.0,117,89.2,12,161371,161371,37.6,60.6,449260,1
14.9,86,73.6,12,858289,858289,27.8,57.5,2702602,-1
10.9,81,78.1,12,140255,140255,29.1,49.9,363542,-1
13.6,17,79.2,12,62488,62488,17.8,36.8,141373,-1
20.3,75,60.5,12,15806,15806,11.9,45.0,39713,0
15.6,3,71.7,12,8299,8299,13.1,49.1,27537,-1
7.3,113,85.1,12,60607,60607,27.1,52.9,166778,-1
11.8,127,76.3,12,209885,209885,22.7,48.5,518660,-1
6.5,73,84.6,12,112373,112373,45.5,60.2,285890,1
9.8,11,81.3,12,675828,675828,31.5,60.7,1890416,-1
29.3,79,58.1,12,6743,6743,12.5,38.9,18518,0
11.2,87,77.8,12,30198,30198,31.8,59.9,76745,1
11.7,33,80.8,12,117836,117836,26.0,53.2,309924,-1
12.4,53,79.5,12,72234,72234,17.1,42.7,179144,-1
9.8,57,82.8,12,505845,505845,32.0,60.2,1351087,-1
10.3,91,80.8,12,76574,76574,29.8,54.4,197591,-1
21.1,123,66.5,12,7406,7406,8.6,37.0,22350,0
11.2,129,76.2,12,11075,11075,17.8,52.5,31586,-1
11.4,5,80.9,12,68667,68667,22.4,55.1,180117,-1
10.8,35,79.5,12,39433,39433,23.6,44.3,105015,-1
21.6,37,70.3,12,4327,4327,18.4,43.3,11675,-1
18.0,45,77.5,12,5295,5295,18.5,42.6,16018,-1
23.3,47,64.2,12,4551,4551,10.2,32.5,14238,0
23.7,77,60.5,12,2325,2325,11.1,34.9,8347,0
18.7,97,72.8,12,96250,96250,19.0,57.7,325168,-1
9.6,119,83.0,12,52360,52360,30.9,21.9,116754,-1
12.9,131,77.6,12,25449,25449,26.7,53.8,63457,-1
28.7,39,58.2,12,17310,17310,16.3,44.4,46113,0
24.3,59,66.8,12,7019,7019,11.5,39.8,19483,0
19.5,65,68.8,12,5702,5702,21.2,40.8,14085,-1
10.0,71,80.9,12,264325,264325,27.2,49.0,700165,-1
16.5,83,76.1,12,134747,134747,19.4,41.9,343778,-1
32.3,49,56.9,12,7718,7718,10.5,47.4,27326,0
8.8,21,82.1,12,138131,138131,34.9,50.2,356774,-1
22.9,93,59.1,12,13333,13333,11.0,43.1,40228,0
8.2,95,83.6,12,451960,451960,32.7,62.4,1290216,-1
13.0,101,79.2,12,195818,195818,22.7,49.6,498136,-1
19.6,5,62.2,13,3989,3989,11.8,50.4,11279,0
18.7,25,62.2,13,6658,6658,7.8,44.7,18411,-1
4.6,117,91.4,13,70468,70468,50.2,65.7,211300,-1
26.8,137,63.4,13,15106,15106,18.4,49.4,43878,-1
24.8,147,62.0,13,9848,9848,13.8,48.2,25535,0
15.3,185,66.6,13,40318,40318,25.2,52.0,113941,-1
19.6,191,70.7,13,5730,5730,14.0,48.0,14061,-1
31.2,199,56.6,13,8108,8108,10.7,47.9,21152,0
16.0,207,71.0,13,9590,9590,22.7,50.1,26795,-1
11.0,237,76.0,13,8662,8662,21.4,52.0,21430,-1
