0,1,S2801_C02_011E,county,S2801_C02_012E,state,S2501_C02_001E,S1901_C01_001E,S1501_C02_015E,S2301_C03_001E,S0101_C01_001E,cluster
-8.395518,0.7823971,14.7,19,75.6,6,301824,301824,20.1,54.3,971616,-1
-7.855809,0.7756975,17.0,29,74.6,6,264993,264993,15.8,51.7,878744,-1
-13.281081,3.1862934,6.6,59,88.3,6,1024976,1024976,39.1,61.8,3155816,-1
-9.704005,-0.025197454,9.1,111,85.4,6,270046,270046,32.6,61.3,847834,1
-2.1429312,0.44677037,15.7,9,77.6,6,17812,17812,19.3,43.7,45057,-1
-0.93687946,-2.7868507,12.8,101,79.4,6,32188,32188,17.5,52.2,95583,-1
-10.814714,-1.6627138,6.3,81,88.7,6,261796,261796,48.5,65.5,763450,1
-2.5081568,-0.30264077,13.6,109,77.1,6,22267,22267,20.6,44.3,53899,-1
-8.497661,-2.3273325,8.2,97,85.8,6,190058,190058,33.8,60.7,500943,1
0.11213822,1.2069322,17.8,103,71.3,6,23712,23712,14.4,47.9,63247,-1
-0.85840255,0.39128798,17.5,25,70.4,6,45198,45198,14.3,44.7,179957,-1
-1.681316,-9.474692,11.5,51,75.0,6,4899,4899,31.5,67.9,14058,-1
-1.1901174,-8.130482,6.9,69,87.6,6,17440,17440,19.2,61.6,58671,-1
-11.828775,2.4033206,7.5,1,86.1,6,569070,569070,44.7,62.5,1629615,-1
-10.936649,2.7394712,8.3,67,83.3,6,532050,532050,29.9,56.8,1495400,-1
-5.465206,-4.8914547,8.0,17,84.5,6,68084,68084,33.3,52.9,185015,-1
-6.0384994,-6.79963,8.0,55,86.5,6,49044,49044,34.6,62.1,141005,1
-5.840978,-1.6385336,14.5,53,78.9,6,125939,125939,23.9,55.1,433168,-1
-11.322818,-0.11627411,9.2,75,84.9,6,358772,358772,55.8,66.5,864263,1
1.0407467,3.5705914,24.2,91,69.3,6,1208,1208,21.4,46.1,2885,-1
-13.273615,3.2212777,7.3,73,87.3,6,1111739,1111739,37.4,58.3,3283665,-1
-5.9655194,-0.5414639,19.1,107,70.4,6,135144,135144,13.8,52.6,458809,-1
-6.3923473,-5.6634383,8.5,113,84.1,6,72845,72845,40.6,55.7,212605,-1
-4.02172,-4.2014313,11.5,23,80.0,6,53966,53966,29.4,53.2,135490,-1
-4.740331,-5.345888,10.1,57,83.7,6,40386,40386,35.8,50.4,98838,-1
-2.83743,-1.2336013,8.6,3,87.5,6,304,304,25.6,37.6,1203,-1
-0.8719998,-0.29203323,15.8,39,72.9,6,44458,44458,13.8,48.0,154440,-1
-0.75436217,-3.3661196,15.7,45,75.8,6,34182,34182,24.8,52.3,87497,-1
-7.1506124,-5.200371,9.1,87,85.5,6,95536,95536,39.8,59.4,273263,1
-0.07204279,3.1253433,18.5,105,65.7,6,5462,5462,19.5,42.8,13037,-1
-13.5306,3.063627,11.3,37,80.4,6,3295198,3295198,31.2,59.3,10105722,-1
-12.367953,3.3820791,9.8,65,83.2,6,711724,711724,21.5,54.0,2355002,-1
