"S0101_C01_001E","S1901_C01_012E","S2801_C02_011E","S2301_C04_001E","S0801_C01_046E","state","county"
834,50385,10.9,1.6,14,"08","079"
862127,64872,14.3,7.7,24.9,"09","009"
184454,76438,10.9,6,27.4,"09","005"
897417,69936,12.8,7.4,23,"09","003"
116674,62553,12.7,7.6,26.3,"09","015"
270772,69411,11.3,7,23.4,"09","011"
164110,81673,10.7,5.1,26.1,"09","007"
151596,81312,8.4,5.8,26.3,"09","013"
947328,89773,9.3,7.6,30.4,"09","001"
672391,77649,11.8,8,30,"11","001"
555036,68336,11,6.5,25.7,"10","003"
215551,57901,13.7,6.1,25.3,"10","005"
173145,57647,10.7,6.7,26.3,"10","001"
17191,42934,21.8,7.4,32.8,"12","041"
100177,36374,22,11.5,20.4,"12","055"
43814,40600,17.6,9.1,25.9,"12","121"
259865,45478,11,6.6,21.2,"12","001"
35675,35435,39.5,6.1,24.7,"12","027"
14458,36237,25.7,8.6,26.8,"12","013"
173236,46511,11.7,8.9,24.7,"12","015"
68484,43504,14.5,9.5,24.8,"12","023"
16323,35910,30.5,6.2,26.7,"12","029"
155719,55588,10.5,6.5,26.3,"12","085"
72435,33619,24.1,10.3,27.9,"12","107"
404839,55236,11,5.7,23.6,"12","115"
15300,37460,27.3,9.8,22.4,"12","125"
24472,36989,20.3,10.1,30.5,"12","133"
912043,51296,12.5,7.4,24.5,"12","031"
26775,46106,27.2,7.6,31.1,"12","007"
568183,51536,10.1,7.6,24.5,"12","009"
203291,61971,6.9,8.1,33.3,"12","019"
8684,41512,22.3,12.8,27.2,"12","067"
326215,49734,11.8,7.2,28.8,"12","069"
78435,64294,9.2,5.7,29.8,"12","089"
949842,48968,13.6,6.4,24.4,"12","103"
652256,45988,16.6,7.7,26,"12","105"
298763,47132,12.7,7.6,27.6,"12","111"
13197,37385,32.9,10,25.3,"12","043"
39064,37966,27.6,8.2,29.4,"12","051"
147981,49009,14.4,8.2,22.4,"12","061"
48571,36944,26.4,11.2,23,"12","063"
1426772,57256,10.8,7.4,25.3,"12","099"
226578,73640,7.5,5.3,27.2,"12","109"
449260,60739,6,6.6,27.1,"12","117"
2702602,46338,14.9,7.4,31.3,"12","086"
363542,53408,10.9,6.6,25.4,"12","081"
141373,40574,13.6,9.9,25.3,"12","017"
39713,36554,20.3,8.5,30,"12","075"
27537,59506,15.6,5.8,29.9,"12","003"
166778,62731,7.3,6.3,28.7,"12","113"
518660,43838,11.8,6.7,25.4,"12","127"
285890,49941,6.5,8.8,20.8,"12","073"
1890416,54895,9.8,7.6,28.2,"12","011"
18518,31816,29.3,8.1,27,"12","079"
76745,63030,11.2,3.7,17.8,"12","087"
309924,47361,11.7,7.2,21.9,"12","033"
179144,44324,12.4,8.8,29.6,"12","053"
1351087,53742,9.8,6.8,27.3,"12","057"
197591,59955,10.3,6.1,23.6,"12","091"
22350,37188,21.1,5.9,24.2,"12","123"
31586,57866,11.2,6.9,32.7,"12","129"
180117,50283,11.4,6.4,22.8,"12","005"
105015,51049,10.8,6.5,25.7,"12","035"
11675,41267,21.6,7.9,19.3,"12","037"
16018,44647,18,5.4,22.4,"12","045"
14238,36209,23.3,12.7,23.4,"12","047"
8347,36741,23.7,9.6,33,"12","077"
325168,47343,18.7,6.6,32.2,"12","097"
116754,54771,9.6,6.6,25.2,"12","119"
63457,50619,12.9,5.7,28.2,"12","131"
46113,39830,28.7,8.5,30.2,"12","039"
19483,37474,24.3,11.5,28.2,"12","059"
14085,47599,19.5,7.2,28.7,"12","065"
700165,52052,10,7.1,27.2,"12","071"
343778,41964,16.5,9,25.4,"12","083"
27326,39063,32.3,9.1,23.9,"12","049"
356774,62407,8.8,5.3,24.5,"12","021"
40228,39059,22.9,9,24,"12","093"
1290216,51586,8.2,6.8,27.6,"12","095"
498136,48289,13,7,31.6,"12","101"
11279,38824,19.6,3.1,20.4,"13","005"
18411,36812,18.7,7.8,30.8,"13","025"
211300,96445,4.6,4.2,32.7,"13","117"
43878,44474,26.8,5.5,26.9,"13","137"
25535,41216,24.8,4.7,21.8,"13","147"
113941,39911,15.3,9.2,19.2,"13","185"
14061,43285,19.6,9.2,29.1,"13","191"
21152,36368,31.2,8.1,33,"13","199"
26795,50666,16,9.4,26.3,"13","207"
21430,48340,11,6.5,25,"13","237"
30687,34219,19.1,10.6,20.3,"13","261"
1844,30500,42.5,9.5,32.9,"13","265"
5410,32860,37.2,8.2,25.4,"13","301"
3251,43867,42.5,2.5,27.4,"13","007"
34883,68589,8.7,7.9,30,"13","029"
23556,39655,23.1,7.6,30.8,"13","035"
10894,33125,29.6,6.3,22.2,"13","043"
52252,53687,10,8.2,22.8,"13","039"
114898,46844,13.7,9.4,27.8,"13","045"
12385,41032,17.9,12.6,28.8,"13","079"
10405,29493,38.6,8.7,25.2,"13","099"
23005,33194,26.1,14.8,18.8,"13","081"
43048,36572,26,5.7,20,"13","069"
138015,67570,10,5.4,31,"13","077"
739072,72004,5.6,6,31.4,"13","067"
29614,46211,18.8,7.4,30.1,"13","123"
16282,43163,17.3,4.8,26.4,"13","083"
88695,55876,10.6,6.9,32.3,"13","297"
9905,34234,44.4,7.5,25.2,"13","317"
15629,34890,19.6,13.6,24.2,"13","027"
21063,35290,35.1,9,26,"13","091"
56424,43452,20.4,5.7,23.9,"13","129"
19288,35207,34.6,7.7,20.8,"13","105"
235896,75477,5.6,4.9,34.5,"13","057"
110306,84861,6.9,5.5,31.2,"13","113"
8929,27197,31.5,6.3,25.5,"13","165"
29216,65018,10.6,7.1,20.5,"13","177"
105042,52784,10.7,9,31.5,"13","217"
30343,61542,14.5,7,31.7,"13","227"
16732,45069,21.3,6.5,26.4,"13","133"
45890,34503,20.3,7.2,21.6,"13","071"
17190,35539,24.8,5.8,25.6,"13","075"
23397,62284,9.8,6.1,32.3,"13","085"
274150,44106,10,10.3,30.4,"13","063"
1010420,61336,9.7,7.7,28.1,"13","121"
192865,55622,13.2,4.6,26.3,"13","139"
8667,29268,36.3,4,29.4,"13","141"
31567,43039,13.8,6,28.7,"13","187"
21488,40469,29,8.1,26.5,"13","189"
5884,37255,41,5.7,24.3,"13","201"
18013,59572,13.6,5.7,25.9,"13","211"
11607,44897,24,9.6,37.6,"13","149"
35972,77388,7.2,4.4,23.5,"13","219"
91522,34541,20.2,15.8,18.9,"13","095"
24480,43344,18.1,8.3,26.9,"13","111"
217506,64752,6,7.7,33.6,"13","151"
150341,55965,13.4,7.8,21.4,"13","153"
47451,35202,30.7,5.1,23,"13","175"
17857,53083,11.1,17.2,30.2,"13","183"
64192,42398,21.9,8.3,29,"13","255"
25625,39756,19.4,11.7,20.9,"13","257"
16339,28044,59.3,4.1,22.5,"13","271"
22262,42767,16.1,5.5,22.4,"13","291"
26241,35375,24.1,11.2,23.3,"13","293"
20506,38097,26.5,9.3,21.5,"13","303"
27027,43645,18.6,8.6,22.7,"13","225"
152399,63669,8,5.2,37.7,"13","223"
